ANADIA-AL,,,,,,,AL,,,"570,52",,,,,,,,-,,,,,,,,"570,52",,,,,,,"2.373,98",,,,,,,,,
ATALAIA-AL,,,,,,,AL,,,"760,70",,,,,,,,-,,,,,,,,"760,70",,,,,,,"3.165,32",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,AL,,,"522,98",,,,,,,,-,,,,,,,,"522,98",,,,,,,"2.176,15",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,AL,,,"475,44",,,,,,,,-,,,,,,,,"475,44",,,,,,,"1.978,32",,,,,,,,,
BOCA DA MATA-AL,,,,,,,AL,,,"641,84",,,,,,,,-,,,,,,,,"641,84",,,,,,,"2.670,74",,,,,,,,,
BRANQUINHA-AL,,,,,,,AL,,,"499,21",,,,,,,,-,,,,,,,,"499,21",,,,,,,"2.077,23",,,,,,,,,
CAJUEIRO-AL,,,,,,,AL,,,"618,07",,,,,,,,-,,,,,,,,"618,07",,,,,,,"2.571,82",,,,,,,,,
CAMPESTRE-AL,,,,,,,AL,,,"475,44",,,,,,,,-,,,,,,,,"475,44",,,,,,,"1.978,32",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,AL,,,"736,93",,,,,,,,-,,,,,,,,"736,93",,,,,,,"3.066,41",,,,,,,,,
CAPELA-AL,,,,,,,AL,,,"570,52",,,,,,,,-,,,,,,,,"570,52",,,,,,,"2.373,98",,,,,,,,,
CHA PRETA-AL,,,,,,,AL,,,"475,44",,,,,,,,-,,,,,,,,"475,44",,,,,,,"1.978,32",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,AL,,,"594,30",,,,,,,,-,,,,,,,,"594,30",,,,,,,"2.472,91",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,AL,,,"68.617,64",,,,,,,,"237,00",,,,,,,,"68.854,64",,,,,,,"273.960,82",,,,,,,,,
CORURIPE-AL,,,,,,,AL,,,"1.510.856,84",,,,,,,,"57.668,77",,,,,,,,"1.568.525,61",,,,,,,"6.189.148,36",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,AL,,,"17.088,42",,,,,,,,"23.881,07",,,,,,,,"40.969,49",,,,,,,"170.476,61",,,,,,,,,
FLEXEIRAS-AL,,,,,,,AL,,,"499,21",,,,,,,,-,,,,,,,,"499,21",,,,,,,"2.077,23",,,,,,,,,
IBATEGUARA-AL,,,,,,,AL,,,"546,75",,,,,,,,-,,,,,,,,"546,75",,,,,,,"2.275,07",,,,,,,,,
IGREJA NOVA-AL,,,,,,,AL,,,"618,07",,,,,,,,-,,,,,,,,"618,07",,,,,,,"2.571,82",,,,,,,,,
JACUIPE-AL,,,,,,,AL,,,"475,44",,,,,,,,-,,,,,,,,"475,44",,,,,,,"1.978,32",,,,,,,,,
JAPARATINGA-AL,,,,,,,AL,,,"475,44",,,,,,,,-,,,,,,,,"475,44",,,,,,,"1.978,32",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,AL,,,"692,58",,,,,,,,"81,21",,,,,,,,"773,79",,,,,,,"4.463,54",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,AL,,,"618,07",,,,,,,,-,,,,,,,,"618,07",,,,,,,"2.571,82",,,,,,,,,
JUNDIA-AL,,,,,,,AL,,,"475,44",,,,,,,,-,,,,,,,,"475,44",,,,,,,"1.978,32",,,,,,,,,
JUNQUEIRO-AL,,,,,,,AL,,,"641,84",,,,,,,,-,,,,,,,,"641,84",,,,,,,"2.670,74",,,,,,,,,
MACEIO-AL,,,,,,,AL,,,"80.767,84",,,,,,,,"18.282,59",,,,,,,,"99.050,43",,,,,,,"396.235,99",,,,,,,,,
MARAGOGI-AL,,,,,,,AL,,,"641,84",,,,,,,,-,,,,,,,,"641,84",,,,,,,"2.670,74",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,AL,,,"107.986,40",,,,,,,,"73.783,21",,,,,,,,"181.769,61",,,,,,,"711.938,05",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,AL,,,"641,84",,,,,,,,-,,,,,,,,"641,84",,,,,,,"2.670,74",,,,,,,,,
MESSIAS-AL,,,,,,,AL,,,"546,75",,,,,,,,-,,,,,,,,"546,75",,,,,,,"2.275,07",,,,,,,,,
MURICI-AL,,,,,,,AL,,,"641,84",,,,,,,,-,,,,,,,,"641,84",,,,,,,"2.670,74",,,,,,,,,
NOVO LINO-AL,,,,,,,AL,,,"499,21",,,,,,,,-,,,,,,,,"499,21",,,,,,,"2.077,23",,,,,,,,,
PARIPUEIRA-AL,,,,,,,AL,,,"475,44",,,,,,,,"6.880,29",,,,,,,,"7.355,73",,,,,,,"33.329,39",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,AL,,,"522,98",,,,,,,,-,,,,,,,,"522,98",,,,,,,"2.176,15",,,,,,,,,
PENEDO-AL,,,,,,,AL,,,"784,47",,,,,,,,-,,,,,,,,"784,47",,,,,,,"3.264,23",,,,,,,,,
PIACABUCU-AL,,,,,,,AL,,,"570,52",,,,,,,,-,,,,,,,,"570,52",,,,,,,"2.373,98",,,,,,,,,
PILAR-AL,,,,,,,AL,,,"76.340,89",,,,,,,,"48.810,55",,,,,,,,"125.151,44",,,,,,,"576.487,22",,,,,,,,,
PINDOBA-AL,,,,,,,AL,,,"475,44",,,,,,,,-,,,,,,,,"475,44",,,,,,,"1.978,32",,,,,,,,,
PORTO CALVO-AL,,,,,,,AL,,,"641,84",,,,,,,,-,,,,,,,,"641,84",,,,,,,"2.670,74",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,AL,,,"499,21",,,,,,,,-,,,,,,,,"499,21",,,,,,,"2.077,23",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,AL,,,"570,52",,,,,,,,-,,,,,,,,"570,52",,,,,,,"2.373,98",,,,,,,,,
RIO LARGO-AL,,,,,,,AL,,,"11.271,52",,,,,,,,"6.748,81",,,,,,,,"18.020,33",,,,,,,"66.211,16",,,,,,,,,
ROTEIRO-AL,,,,,,,AL,,,"70.497,19",,,,,,,,"1.507,83",,,,,,,,"72.005,02",,,,,,,"281.541,87",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,AL,,,"68.723,91",,,,,,,,"313,42",,,,,,,,"69.037,33",,,,,,,"275.130,09",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,AL,,,"499,21",,,,,,,,-,,,,,,,,"499,21",,,,,,,"2.077,23",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,AL,,,"618,07",,,,,,,,-,,,,,,,,"618,07",,,,,,,"2.571,82",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,AL,,,"665,61",,,,,,,,-,,,,,,,,"665,61",,,,,,,"2.769,64",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,AL,,,"242.872,63",,,,,,,,"156.531,77",,,,,,,,"399.404,40",,,,,,,"1.802.716,57",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,AL,,,"475,44",,,,,,,,-,,,,,,,,"475,44",,,,,,,"1.978,32",,,,,,,,,
SATUBA-AL,,,,,,,AL,,,"18.256,93",,,,,,,,"11.423,06",,,,,,,,"29.679,99",,,,,,,"107.488,57",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,AL,,,"736,93",,,,,,,,-,,,,,,,,"736,93",,,,,,,"3.066,41",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,AL,,,"784,47",,,,,,,,-,,,,,,,,"784,47",,,,,,,"3.264,23",,,,,,,,,
VICOSA-AL,,,,,,,AL,,,"641,84",,,,,,,,-,,,,,,,,"641,84",,,,,,,"2.670,74",,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,"2.297.197,91",,,,,,,,"406.149,58",,,,,,,,"2.703.347,49",,,,,,,"10.983.790,92",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAMA-AM,,,,,,,AM,,,-,,,,,,,,"3.170,85",,,,,,,,"3.170,85",,,,,,,"12.160,17",,,,,,,,,
ANORI-AM,,,,,,,AM,,,-,,,,,,,,"3.170,85",,,,,,,,"3.170,85",,,,,,,"12.160,17",,,,,,,,,
AUTAZES-AM,,,,,,,AM,,,-,,,,,,,,"7.768,78",,,,,,,,"7.768,78",,,,,,,"33.728,70",,,,,,,,,
BERURI-AM,,,,,,,AM,,,-,,,,,,,,"3.170,85",,,,,,,,"3.170,85",,,,,,,"12.160,17",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,AM,,,-,,,,,,,,"7.768,78",,,,,,,,"7.768,78",,,,,,,"33.728,70",,,,,,,,,
CAREIRO-AM,,,,,,,AM,,,-,,,,,,,,"3.170,85",,,,,,,,"3.170,85",,,,,,,"12.160,17",,,,,,,,,
COARI-AM,,,,,,,AM,,,"2.105.312,37",,,,,,,,"2.111.875,30",,,,,,,,"4.217.187,67",,,,,,,"16.294.848,77",,,,,,,,,
CODAJAS-AM,,,,,,,AM,,,-,,,,,,,,"3.170,85",,,,,,,,"3.170,85",,,,,,,"12.160,17",,,,,,,,,
IRANDUBA-AM,,,,,,,AM,,,-,,,,,,,,"7.768,78",,,,,,,,"7.768,78",,,,,,,"33.728,70",,,,,,,,,
