ANADIA-AL,,,,,,,,,AL,,,,"512,86",,,,,,,,,-,,,,,,"512,86",,,,,,,,,"3.262,22",,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,,"683,82",,,,,,,,,-,,,,,,"683,82",,,,,,,,,"4.349,64",,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,,"470,12",,,,,,,,,-,,,,,,"470,12",,,,,,,,,"2.990,37",,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,,"427,38",,,,,,,,,-,,,,,,"427,38",,,,,,,,,"2.718,52",,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,,"576,97",,,,,,,,,-,,,,,,"576,97",,,,,,,,,"3.670,01",,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,,"448,75",,,,,,,,,-,,,,,,"448,75",,,,,,,,,"2.854,43",,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,,"555,60",,,,,,,,,-,,,,,,"555,60",,,,,,,,,"3.534,08",,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,,"427,38",,,,,,,,,-,,,,,,"427,38",,,,,,,,,"2.718,52",,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,,"662,45",,,,,,,,,-,,,,,,"662,45",,,,,,,,,"4.213,72",,,,,,,
CAPELA-AL,,,,,,,,,AL,,,,"512,86",,,,,,,,,-,,,,,,"512,86",,,,,,,,,"3.262,22",,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,,"427,38",,,,,,,,,-,,,,,,"427,38",,,,,,,,,"2.718,52",,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,,"534,23",,,,,,,,,-,,,,,,"534,23",,,,,,,,,"3.398,16",,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,,"61.194,85",,,,,,,,,"138,03",,,,,,"61.332,88",,,,,,,,,"181.654,18",,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,,"2.450.152,62",,,,,,,,,"48.372,06",,,,,,"2.498.524,68",,,,,,,,,"6.759.659,56",,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,,,"15.361,31",,,,,,,,,"21.467,43",,,,,,"36.828,74",,,,,,,,,"234.261,23",,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,,,"448,75",,,,,,,,,-,,,,,,"448,75",,,,,,,,,"2.854,43",,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,,,"491,49",,,,,,,,,-,,,,,,"491,49",,,,,,,,,"3.126,30",,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,,,"555,60",,,,,,,,,-,,,,,,"555,60",,,,,,,,,"3.534,08",,,,,,,
JACUIPE-AL,,,,,,,,,AL,,,,"427,38",,,,,,,,,-,,,,,,"427,38",,,,,,,,,"2.718,52",,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,,,"427,38",,,,,,,,,-,,,,,,"427,38",,,,,,,,,"2.718,52",,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,,,"448,75",,,,,,,,,-,,,,,,"448,75",,,,,,,,,"9.042,78",,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,,,"555,60",,,,,,,,,-,,,,,,"555,60",,,,,,,,,"3.534,08",,,,,,,
JUNDIA-AL,,,,,,,,,AL,,,,"427,38",,,,,,,,,-,,,,,,"427,38",,,,,,,,,"2.718,66",,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,,,"576,97",,,,,,,,,-,,,,,,"576,97",,,,,,,,,"3.670,01",,,,,,,
MACEIO-AL,,,,,,,,,AL,,,,"52.292,87",,,,,,,,,"22.870,99",,,,,,"75.163,86",,,,,,,,,"441.217,48",,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,,,"576,97",,,,,,,,,-,,,,,,"576,97",,,,,,,,,"3.670,01",,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,,,"66.756,11",,,,,,,,,"91.981,54",,,,,,"158.737,65",,,,,,,,,"854.186,44",,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,AL,,,,"576,97",,,,,,,,,-,,,,,,"576,97",,,,,,,,,"3.670,01",,,,,,,
MESSIAS-AL,,,,,,,,,AL,,,,"491,49",,,,,,,,,-,,,,,,"491,49",,,,,,,,,"3.126,30",,,,,,,
MURICI-AL,,,,,,,,,AL,,,,"576,97",,,,,,,,,-,,,,,,"576,97",,,,,,,,,"3.670,01",,,,,,,
