ANADIA-AL,,,,,AL,,,,"838,13",,,,,,-,,,,,,"838,13",,,,,,,"8.690,69",,,,,,,,
ATALAIA-AL,,,,,AL,,,,"1.082,59",,,,,,-,,,,,,"1.082,59",,,,,,,"11.225,52",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"733,37",,,,,,-,,,,,,"733,37",,,,,,,"7.604,36",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"698,44",,,,,,-,,,,,,"698,44",,,,,,,"7.242,24",,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"942,90",,,,,,-,,,,,,"942,90",,,,,,,"9.777,07",,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"733,37",,,,,,-,,,,,,"733,37",,,,,,,"7.604,36",,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"873,06",,,,,,-,,,,,,"873,06",,,,,,,"9.052,83",,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"698,44",,,,,,-,,,,,,"698,44",,,,,,,"7.242,24",,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"1.082,59",,,,,,-,,,,,,"1.082,59",,,,,,,"11.225,52",,,,,,,,
CAPELA-AL,,,,,AL,,,,"873,06",,,,,,-,,,,,,"873,06",,,,,,,"9.052,83",,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"698,44",,,,,,-,,,,,,"698,44",,,,,,,"7.242,24",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"838,13",,,,,,-,,,,,,"838,13",,,,,,,"8.690,69",,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"754,35",,,,,,"36,06",,,,,,"790,41",,,,,,,"11.856,16",,,,,,,,
CORURIPE-AL,,,,,AL,,,,"678.059,61",,,,,,"69.903,86",,,,,,"747.963,47",,,,,,,"12.651.375,79",,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"25.349,55",,,,,,"34.744,73",,,,,,"60.094,28",,,,,,,"623.125,76",,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"733,37",,,,,,-,,,,,,"733,37",,,,,,,"7.604,36",,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"803,21",,,,,,-,,,,,,"803,21",,,,,,,"8.328,59",,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"907,98",,,,,,-,,,,,,"907,98",,,,,,,"9.414,94",,,,,,,,
JACUIPE-AL,,,,,AL,,,,"698,44",,,,,,-,,,,,,"698,44",,,,,,,"7.242,24",,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"698,44",,,,,,-,,,,,,"698,44",,,,,,,"7.242,24",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,"909,29",,,,,,"59,22",,,,,,"968,51",,,,,,,"27.637,99",,,,,,,,
