ANADIA-AL,,,,,,AL,,"529,33",,,,,,,-,,,,,"529,33",,,,,,"529,33",,,,,,,,
ATALAIA-AL,,,,,,AL,,"705,78",,,,,,,-,,,,,"705,78",,,,,,"705,78",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,AL,,"485,22",,,,,,,-,,,,,"485,22",,,,,,"485,22",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,AL,,"441,11",,,,,,,-,,,,,"441,11",,,,,,"441,11",,,,,,,,
BOCA DA MATA-AL,,,,,,AL,,"595,50",,,,,,,-,,,,,"595,50",,,,,,"595,50",,,,,,,,
BRANQUINHA-AL,,,,,,AL,,"463,16",,,,,,,-,,,,,"463,16",,,,,,"463,16",,,,,,,,
CAJUEIRO-AL,,,,,,AL,,"573,44",,,,,,,-,,,,,"573,44",,,,,,"573,44",,,,,,,,
CAMPESTRE-AL,,,,,,AL,,"441,11",,,,,,,-,,,,,"441,11",,,,,,"441,11",,,,,,,,
CAMPO ALEGRE-AL,,,,,,AL,,"683,72",,,,,,,-,,,,,"683,72",,,,,,"683,72",,,,,,,,
CAPELA-AL,,,,,,AL,,"529,33",,,,,,,-,,,,,"529,33",,,,,,"529,33",,,,,,,,
CHA PRETA-AL,,,,,,AL,,"441,11",,,,,,,-,,,,,"441,11",,,,,,"441,11",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,AL,,"551,39",,,,,,,-,,,,,"551,39",,,,,,"551,39",,,,,,,,
COQUEIRO SECO-AL,,,,,,AL,,"63.525,90",,,,,,,"225,51",,,,,"63.751,41",,,,,,"63.751,41",,,,,,,,
CORURIPE-AL,,,,,,AL,,"1.376.527,43",,,,,,,"49.831,27",,,,,"1.426.358,70",,,,,,"1.426.358,70",,,,,,,,
FELIZ DESERTO-AL,,,,,,AL,,"15.854,64",,,,,,,"22.156,86",,,,,"38.011,50",,,,,,"38.011,50",,,,,,,,
FLEXEIRAS-AL,,,,,,AL,,"463,16",,,,,,,-,,,,,"463,16",,,,,,"463,16",,,,,,,,
IBATEGUARA-AL,,,,,,AL,,"507,28",,,,,,,-,,,,,"507,28",,,,,,"507,28",,,,,,,,
IGREJA NOVA-AL,,,,,,AL,,"573,44",,,,,,,-,,,,,"573,44",,,,,,"573,44",,,,,,,,
JACUIPE-AL,,,,,,AL,,"441,11",,,,,,,-,,,,,"441,11",,,,,,"441,11",,,,,,,,
JAPARATINGA-AL,,,,,,AL,,"441,11",,,,,,,-,,,,,"441,11",,,,,,"441,11",,,,,,,,
