ANADIA-AL,,,,,,,,,AL,,"551,27",,,,,-,,,,,,"551,27",,,,,,,"5.340,27",,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,"712,06",,,,,-,,,,,,"712,06",,,,,,,"6.996,77",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,"528,30",,,,,-,,,,,,"528,30",,,,,,,"5.018,83",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,"459,39",,,,,-,,,,,,"459,39",,,,,,,"4.450,22",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,"620,18",,,,,-,,,,,,"620,18",,,,,,,"6.007,81",,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,"482,36",,,,,-,,,,,,"482,36",,,,,,,"4.672,72",,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,"597,21",,,,,-,,,,,,"597,21",,,,,,,"5.785,30",,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,"459,39",,,,,-,,,,,,"459,39",,,,,,,"4.450,22",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,"735,03",,,,,-,,,,,,"735,03",,,,,,,"7.021,47",,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,"551,27",,,,,-,,,,,,"551,27",,,,,,,"5.340,27",,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,"459,39",,,,,-,,,,,,"459,39",,,,,,,"4.450,22",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,"597,21",,,,,-,,,,,,"597,21",,,,,,,"5.686,39",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,"76.638,72",,,,,"326,89",,,,,,"76.965,61",,,,,,,"674.507,31",,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,"1.684.993,31",,,,,"58.348,58",,,,,,"1.743.341,89",,,,,,,"14.626.017,83",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,"16.617,68",,,,,"23.223,21",,,,,,"39.840,89",,,,,,,"384.854,19",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,"505,33",,,,,-,,,,,,"505,33",,,,,,,"4.796,32",,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,"528,30",,,,,-,,,,,,"528,30",,,,,,,"5.117,75",,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,"597,21",,,,,-,,,,,,"597,21",,,,,,,"5.785,30",,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,"459,39",,,,,-,,,,,,"459,39",,,,,,,"4.450,22",,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,"459,39",,,,,-,,,,,,"459,39",,,,,,,"4.450,22",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,"7.101,15",,,,,"2.770,24",,,,,,"9.871,39",,,,,,,"35.725,61",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,"597,21",,,,,-,,,,,,"597,21",,,,,,,"5.785,30",,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,"459,39",,,,,-,,,,,,"459,39",,,,,,,"4.450,22",,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,"597,21",,,,,-,,,,,,"597,21",,,,,,,"5.884,22",,,,,,,,,
MACEIO-AL,,,,,,,,,AL,,"91.756,66",,,,,"22.876,16",,,,,,"114.632,82",,,,,,,"998.757,01",,,,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,"643,15",,,,,-,,,,,,"643,15",,,,,,,"6.131,42",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,"115.483,11",,,,,"86.253,30",,,,,,"201.736,41",,,,,,,"1.825.228,57",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,AL,,"597,21",,,,,-,,,,,,"597,21",,,,,,,"5.884,22",,,,,,,,,
MESSIAS-AL,,,,,,,,,AL,,"528,30",,,,,-,,,,,,"528,30",,,,,,,"5.117,75",,,,,,,,,
MURICI-AL,,,,,,,,,AL,,"620,18",,,,,-,,,,,,"620,18",,,,,,,"6.007,81",,,,,,,,,
NOVO LINO-AL,,,,,,,,,AL,,"505,33",,,,,-,,,,,,"505,33",,,,,,,"4.796,32",,,,,,,,,
PARIPUEIRA-AL,,,,,,,,,AL,,"482,36",,,,,"8.636,67",,,,,,"9.119,03",,,,,,,"86.033,73",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,AL,,"528,30",,,,,-,,,,,,"528,30",,,,,,,"5.018,83",,,,,,,,,
PENEDO-AL,,,,,,,,,AL,,-,,,,,-,,,,,,-,,,,,,,"5.698,84",,,,,,,,,
PIACABUCU-AL,,,,,,,,,AL,,"551,27",,,,,-,,,,,,"551,27",,,,,,,"5.340,27",,,,,,,,,
PILAR-AL,,,,,,,,,AL,,"114.335,94",,,,,"73.317,04",,,,,,"187.652,98",,,,,,,"1.428.700,02",,,,,,,,,
PINDOBA-AL,,,,,,,,,AL,,"459,39",,,,,-,,,,,,"459,39",,,,,,,"4.450,22",,,,,,,,,
PORTO CALVO-AL,,,,,,,,,AL,,"620,18",,,,,-,,,,,,"620,18",,,,,,,"6.007,81",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,AL,,"459,39",,,,,-,,,,,,"459,39",,,,,,,"4.549,13",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,AL,,"574,24",,,,,-,,,,,,"574,24",,,,,,,"5.463,86",,,,,,,,,
RIO LARGO-AL,,,,,,,,,AL,,"7.784,51",,,,,"4.517,29",,,,,,"12.301,80",,,,,,,"176.973,12",,,,,,,,,
ROTEIRO-AL,,,,,,,,,AL,,"77.375,94",,,,,"934,04",,,,,,"78.309,98",,,,,,,"689.571,47",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,AL,,"76.639,58",,,,,"325,48",,,,,,"76.965,06",,,,,,,"676.518,23",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,AL,,"482,36",,,,,-,,,,,,"482,36",,,,,,,"4.672,72",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,AL,,"597,21",,,,,-,,,,,,"597,21",,,,,,,"5.785,30",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,AL,,"666,12",,,,,-,,,,,,"666,12",,,,,,,"6.353,91",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,AL,,"298.662,84",,,,,"200.102,98",,,,,,"498.765,82",,,,,,,"4.370.356,90",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,AL,,"459,39",,,,,-,,,,,,"459,39",,,,,,,"4.450,22",,,,,,,,,
SATUBA-AL,,,,,,,,,AL,,"26.941,56",,,,,"17.377,31",,,,,,"44.318,87",,,,,,,"267.120,20",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,AL,,"712,06",,,,,-,,,,,,"712,06",,,,,,,"6.897,86",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,AL,,"757,99",,,,,-,,,,,,"757,99",,,,,,,"7.342,87",,,,,,,,,
VICOSA-AL,,,,,,,,,AL,,"620,18",,,,,-,,,,,,"620,18",,,,,,,"6.007,81",,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,"2.616.152,10",,,,,"499.009,19",,,,,,"3.115.161,29",,,,,,,"26.452.281,40",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAMA-AM,,,,,,,,,AM,,-,,,,,"3.420,49",,,,,,"3.420,49",,,,,,,"29.375,75",,,,,,,,,
ANORI-AM,,,,,,,,,AM,,-,,,,,"3.420,49",,,,,,"3.420,49",,,,,,,"29.375,74",,,,,,,,,
AUTAZES-AM,,,,,,,,,AM,,-,,,,,"10.050,35",,,,,,"10.050,35",,,,,,,"80.701,65",,,,,,,,,
BERURI-AM,,,,,,,,,AM,,-,,,,,"3.420,49",,,,,,"3.420,49",,,,,,,"29.375,74",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,,AM,,-,,,,,"10.050,35",,,,,,"10.050,35",,,,,,,"80.701,65",,,,,,,,,
CAREIRO-AM,,,,,,,,,AM,,-,,,,,"3.420,49",,,,,,"3.420,49",,,,,,,"29.375,36",,,,,,,,,
COARI-AM,,,,,,,,,AM,,"2.574.590,64",,,,,"2.569.932,78",,,,,,"5.144.523,42",,,,,,,"41.936.632,59",,,,,,,,,
CODAJAS-AM,,,,,,,,,AM,,-,,,,,"3.420,49",,,,,,"3.420,49",,,,,,,"29.375,74",,,,,,,,,
IRANDUBA-AM,,,,,,,,,AM,,-,,,,,"10.050,35",,,,,,"10.050,35",,,,,,,"80.701,65",,,,,,,,,
ITACOATIARA-AM,,,,,,,,,AM,,-,,,,,"10.050,35",,,,,,"10.050,35",,,,,,,"80.701,65",,,,,,,,,
ITAPIRANGA-AM,,,,,,,,,AM,,-,,,,,"10.050,35",,,,,,"10.050,35",,,,,,,"80.701,65",,,,,,,,,
MANACAPURU-AM,,,,,,,,,AM,,-,,,,,"3.420,49",,,,,,"3.420,49",,,,,,,"29.375,75",,,,,,,,,
MANAQUIRI-AM,,,,,,,,,AM,,-,,,,,"3.420,49",,,,,,"3.420,49",,,,,,,"29.375,68",,,,,,,,,
MANAUS-AM,,,,,,,,,AM,,"1.656.019,12",,,,,"131.597,72",,,,,,"1.787.616,84",,,,,,,"14.867.269,42",,,,,,,,,
PARINTINS-AM,,,,,,,,,AM,,-,,,,,"10.050,35",,,,,,"10.050,35",,,,,,,"80.701,65",,,,,,,,,
