ANADIA-AL,,,,,,,,,AL,,,"677,86",,,,,,,-,,,,,,,"677,86",,,,,,,,,,"2.120,43",,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,"875,57",,,,,,,-,,,,,,,"875,57",,,,,,,,,,"2.738,89",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,"649,61",,,,,,,-,,,,,,,"649,61",,,,,,,,,,"2.032,07",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,"564,88",,,,,,,-,,,,,,,"564,88",,,,,,,,,,"1.767,01",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,"762,59",,,,,,,-,,,,,,,"762,59",,,,,,,,,,"2.385,47",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,"593,12",,,,,,,-,,,,,,,"593,12",,,,,,,,,,"1.855,37",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,"734,34",,,,,,,-,,,,,,,"734,34",,,,,,,,,,"2.297,12",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,"564,88",,,,,,,-,,,,,,,"564,88",,,,,,,,,,"1.767,01",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,"903,81",,,,,,,-,,,,,,,"903,81",,,,,,,,,,"2.827,23",,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,,"677,86",,,,,,,-,,,,,,,"677,86",,,,,,,,,,"2.120,43",,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,"564,88",,,,,,,-,,,,,,,"564,88",,,,,,,,,,"1.767,01",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,"734,34",,,,,,,-,,,,,,,"734,34",,,,,,,,,,"2.297,12",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,"81.324,53",,,,,,,"311,69",,,,,,,"81.636,22",,,,,,,,,,"246.548,85",,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,"2.174.804,21",,,,,,,"72.063,02",,,,,,,"2.246.867,23",,,,,,,,,,"6.065.824,17",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,,"20.433,60",,,,,,,"28.555,95",,,,,,,"48.989,55",,,,,,,,,,"153.245,63",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,,"621,37",,,,,,,-,,,,,,,"621,37",,,,,,,,,,"1.943,72",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,,"649,61",,,,,,,-,,,,,,,"649,61",,,,,,,,,,"2.032,07",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,,"734,34",,,,,,,-,,,,,,,"734,34",,,,,,,,,,"2.297,12",,,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,,"564,88",,,,,,,-,,,,,,,"564,88",,,,,,,,,,"1.767,01",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,,"564,88",,,,,,,-,,,,,,,"564,88",,,,,,,,,,"1.767,01",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,,"3.219,54",,,,,,,"1.091,23",,,,,,,"4.310,77",,,,,,,,,,"14.551,84",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,,"734,34",,,,,,,-,,,,,,,"734,34",,,,,,,,,,"2.297,12",,,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,,"564,88",,,,,,,-,,,,,,,"564,88",,,,,,,,,,"1.767,01",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,,"734,34",,,,,,,-,,,,,,,"734,34",,,,,,,,,,"2.297,12",,,,,,,,,,
MACEIO-AL,,,,,,,,,AL,,,"97.771,56",,,,,,,"19.925,63",,,,,,,"117.697,19",,,,,,,,,,"361.113,80",,,,,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,,"790,83",,,,,,,-,,,,,,,"790,83",,,,,,,,,,"2.473,83",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,,"123.593,42",,,,,,,"72.459,57",,,,,,,"196.052,99",,,,,,,,,,"597.576,92",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,AL,,,"734,34",,,,,,,-,,,,,,,"734,34",,,,,,,,,,"2.297,12",,,,,,,,,,
MESSIAS-AL,,,,,,,,,AL,,,"649,61",,,,,,,-,,,,,,,"649,61",,,,,,,,,,"2.032,07",,,,,,,,,,
MURICI-AL,,,,,,,,,AL,,,"762,59",,,,,,,-,,,,,,,"762,59",,,,,,,,,,"2.385,47",,,,,,,,,,
NOVO LINO-AL,,,,,,,,,AL,,,"621,37",,,,,,,-,,,,,,,"621,37",,,,,,,,,,"1.943,72",,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,,AL,,,"593,12",,,,,,,"6.048,62",,,,,,,"6.641,74",,,,,,,,,,"23.482,66",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,AL,,,"649,61",,,,,,,-,,,,,,,"649,61",,,,,,,,,,"2.032,07",,,,,,,,,,
PIACABUCU-AL,,,,,,,,,AL,,,"677,86",,,,,,,-,,,,,,,"677,86",,,,,,,,,,"2.120,43",,,,,,,,,,
PILAR-AL,,,,,,,,,AL,,,"109.733,91",,,,,,,"70.249,97",,,,,,,"179.983,88",,,,,,,,,,"580.530,01",,,,,,,,,,
PINDOBA-AL,,,,,,,,,AL,,,"564,88",,,,,,,-,,,,,,,"564,88",,,,,,,,,,"1.767,01",,,,,,,,,,
PORTO CALVO-AL,,,,,,,,,AL,,,"762,59",,,,,,,-,,,,,,,"762,59",,,,,,,,,,"2.385,47",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,AL,,,"564,88",,,,,,,-,,,,,,,"564,88",,,,,,,,,,"1.767,01",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,AL,,,"706,10",,,,,,,-,,,,,,,"706,10",,,,,,,,,,"2.208,77",,,,,,,,,,
RIO LARGO-AL,,,,,,,,,AL,,,"8.765,84",,,,,,,"5.034,57",,,,,,,"13.800,41",,,,,,,,,,"41.275,01",,,,,,,,,,
ROTEIRO-AL,,,,,,,,,AL,,,"82.335,63",,,,,,,"1.162,54",,,,,,,"83.498,17",,,,,,,,,,"251.603,52",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,AL,,,"81.293,82",,,,,,,"290,78",,,,,,,"81.584,60",,,,,,,,,,"247.585,11",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,AL,,,"593,12",,,,,,,-,,,,,,,"593,12",,,,,,,,,,"1.855,37",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,AL,,,"734,34",,,,,,,-,,,,,,,"734,34",,,,,,,,,,"2.297,12",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,AL,,,"819,08",,,,,,,-,,,,,,,"819,08",,,,,,,,,,"2.562,19",,,,,,,,,,
