ANADIA-AL,,,,,,,,,AL,,"779,51",,,,,,,-,,,,,,"779,51",,,,,,,"6.851,82",,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,"1.006,87",,,,,,,-,,,,,,"1.006,87",,,,,,,"8.949,19",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,"747,03",,,,,,,-,,,,,,"747,03",,,,,,,"6.467,40",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,"649,59",,,,,,,-,,,,,,"649,59",,,,,,,"5.709,84",,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,"876,95",,,,,,,-,,,,,,"876,95",,,,,,,"7.708,30",,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,"682,07",,,,,,,-,,,,,,"682,07",,,,,,,"5.995,32",,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,"844,47",,,,,,,-,,,,,,"844,47",,,,,,,"7.422,81",,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,"649,59",,,,,,,-,,,,,,"649,59",,,,,,,"5.709,84",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,"1.039,35",,,,,,,-,,,,,,"1.039,35",,,,,,,"9.036,87",,,,,,,,
CAPELA-AL,,,,,,,,,AL,,"779,51",,,,,,,-,,,,,,"779,51",,,,,,,"6.851,82",,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,"649,59",,,,,,,-,,,,,,"649,59",,,,,,,"5.709,84",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,"844,47",,,,,,,-,,,,,,"844,47",,,,,,,"7.323,90",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,"84.663,20",,,,,,,"311,90",,,,,,"84.975,10",,,,,,,"838.628,66",,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,"1.813.248,90",,,,,,,"76.229,58",,,,,,"1.889.478,48",,,,,,,"18.331.755,11",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,"23.497,98",,,,,,,"32.838,43",,,,,,"56.336,41",,,,,,,"494.095,89",,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,"714,55",,,,,,,-,,,,,,"714,55",,,,,,,"6.181,90",,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,"747,03",,,,,,,-,,,,,,"747,03",,,,,,,"6.566,32",,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,"844,47",,,,,,,-,,,,,,"844,47",,,,,,,"7.422,81",,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,"649,59",,,,,,,-,,,,,,"649,59",,,,,,,"5.709,84",,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,"649,59",,,,,,,-,,,,,,"649,59",,,,,,,"5.709,84",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,"3.758,70",,,,,,,"1.278,54",,,,,,"5.037,24",,,,,,,"46.133,00",,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,"844,47",,,,,,,-,,,,,,"844,47",,,,,,,"7.422,81",,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,"649,59",,,,,,,-,,,,,,"649,59",,,,,,,"5.709,84",,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,"844,47",,,,,,,-,,,,,,"844,47",,,,,,,"7.521,73",,,,,,,,
MACEIO-AL,,,,,,,,,AL,,"99.983,04",,,,,,,"28.185,63",,,,,,"128.168,67",,,,,,,"1.244.416,02",,,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,"909,43",,,,,,,-,,,,,,"909,43",,,,,,,"7.894,89",,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,"125.355,66",,,,,,,"83.819,50",,,,,,"209.175,16",,,,,,,"2.232.738,74",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,AL,,"844,47",,,,,,,-,,,,,,"844,47",,,,,,,"7.521,73",,,,,,,,
MESSIAS-AL,,,,,,,,,AL,,"747,03",,,,,,,-,,,,,,"747,03",,,,,,,"6.566,32",,,,,,,,
MURICI-AL,,,,,,,,,AL,,"876,95",,,,,,,-,,,,,,"876,95",,,,,,,"7.708,30",,,,,,,,
NOVO LINO-AL,,,,,,,,,AL,,"714,55",,,,,,,-,,,,,,"714,55",,,,,,,"6.181,90",,,,,,,,
PARIPUEIRA-AL,,,,,,,,,AL,,"682,07",,,,,,,"12.599,62",,,,,,"13.281,69",,,,,,,"107.474,47",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,AL,,"747,03",,,,,,,-,,,,,,"747,03",,,,,,,"6.467,40",,,,,,,,
PENEDO-AL,,,,,,,,,AL,,-,,,,,,,-,,,,,,-,,,,,,,"5.698,84",,,,,,,,
PIACABUCU-AL,,,,,,,,,AL,,"779,51",,,,,,,-,,,,,,"779,51",,,,,,,"6.851,82",,,,,,,,
PILAR-AL,,,,,,,,,AL,,"109.336,48",,,,,,,"69.914,50",,,,,,"179.250,98",,,,,,,"1.793.963,16",,,,,,,,
PINDOBA-AL,,,,,,,,,AL,,"649,59",,,,,,,-,,,,,,"649,59",,,,,,,"5.709,84",,,,,,,,
PORTO CALVO-AL,,,,,,,,,AL,,"876,95",,,,,,,-,,,,,,"876,95",,,,,,,"7.708,30",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,AL,,"649,59",,,,,,,-,,,,,,"649,59",,,,,,,"5.808,75",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,AL,,"811,99",,,,,,,-,,,,,,"811,99",,,,,,,"7.038,39",,,,,,,,
RIO LARGO-AL,,,,,,,,,AL,,"8.409,76",,,,,,,"4.712,01",,,,,,"13.121,77",,,,,,,"203.575,47",,,,,,,,
