ANADIA-AL,,,,,AL,,,,,"753,08",,,,,,,,-,,,,,,,"753,08",,,,,,,,,,"2.418,95",,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,,"972,72",,,,,,,,-,,,,,,,"972,72",,,,,,,,,,"3.124,48",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,"658,94",,,,,,,,-,,,,,,,"658,94",,,,,,,,,,"2.116,58",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,"627,56",,,,,,,,-,,,,,,,"627,56",,,,,,,,,,"2.015,78",,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,,"847,21",,,,,,,,-,,,,,,,"847,21",,,,,,,,,,"2.721,32",,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,,"658,94",,,,,,,,-,,,,,,,"658,94",,,,,,,,,,"2.116,58",,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,,"784,45",,,,,,,,-,,,,,,,"784,45",,,,,,,,,,"2.519,73",,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,,"627,56",,,,,,,,-,,,,,,,"627,56",,,,,,,,,,"2.015,78",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,,"972,72",,,,,,,,-,,,,,,,"972,72",,,,,,,,,,"3.124,48",,,,,,,,,,
CAPELA-AL,,,,,AL,,,,,"784,45",,,,,,,,-,,,,,,,"784,45",,,,,,,,,,"2.519,73",,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,,"627,56",,,,,,,,-,,,,,,,"627,56",,,,,,,,,,"2.015,78",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,"753,08",,,,,,,,-,,,,,,,"753,08",,,,,,,,,,"2.418,95",,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,,"1.131,02",,,,,,,,"324,73",,,,,,,"1.455,75",,,,,,,,,,"3.490,18",,,,,,,,,,
CORURIPE-AL,,,,,AL,,,,,"964.124,86",,,,,,,,"60.099,32",,,,,,,"1.024.224,18",,,,,,,,,,"3.091.491,95",,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,,"22.777,01",,,,,,,,"31.218,74",,,,,,,"53.995,75",,,,,,,,,,"173.439,24",,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,,"658,94",,,,,,,,-,,,,,,,"658,94",,,,,,,,,,"2.116,58",,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,,"721,70",,,,,,,,-,,,,,,,"721,70",,,,,,,,,,"2.318,16",,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,,"815,83",,,,,,,,-,,,,,,,"815,83",,,,,,,,,,"2.620,53",,,,,,,,,,
JACUIPE-AL,,,,,AL,,,,,"627,56",,,,,,,,-,,,,,,,"627,56",,,,,,,,,,"2.015,78",,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,,"627,56",,,,,,,,-,,,,,,,"627,56",,,,,,,,,,"2.015,78",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,,"1.810,91",,,,,,,,"470,64",,,,,,,"2.281,55",,,,,,,,,,"7.273,50",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,,"815,83",,,,,,,,-,,,,,,,"815,83",,,,,,,,,,"2.620,53",,,,,,,,,,
JUNDIA-AL,,,,,AL,,,,,"627,56",,,,,,,,-,,,,,,,"627,56",,,,,,,,,,"2.015,78",,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,,"815,83",,,,,,,,-,,,,,,,"815,83",,,,,,,,,,"2.620,53",,,,,,,,,,
MACEIO-AL,,,,,AL,,,,,"68.561,80",,,,,,,,"16.719,79",,,,,,,"85.281,59",,,,,,,,,,"282.658,02",,,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,,"815,83",,,,,,,,-,,,,,,,"815,83",,,,,,,,,,"2.620,53",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,,"90.240,79",,,,,,,,"79.004,66",,,,,,,"169.245,45",,,,,,,,,,"558.373,20",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,,"847,21",,,,,,,,-,,,,,,,"847,21",,,,,,,,,,"2.721,32",,,,,,,,,,
MESSIAS-AL,,,,,AL,,,,,"658,94",,,,,,,,-,,,,,,,"658,94",,,,,,,,,,"2.116,58",,,,,,,,,,
MURICI-AL,,,,,AL,,,,,"847,21",,,,,,,,-,,,,,,,"847,21",,,,,,,,,,"2.721,32",,,,,,,,,,
NOVO LINO-AL,,,,,AL,,,,,"658,94",,,,,,,,-,,,,,,,"658,94",,,,,,,,,,"2.116,58",,,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,,"627,56",,,,,,,,"7.715,48",,,,,,,"8.343,04",,,,,,,,,,"28.859,27",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,,"690,32",,,,,,,,-,,,,,,,"690,32",,,,,,,,,,"2.217,37",,,,,,,,,,
PENEDO-AL,,,,,AL,,,,,"1.035,48",,,,,,,,-,,,,,,,"1.035,48",,,,,,,,,,"3.326,06",,,,,,,,,,
PIACABUCU-AL,,,,,AL,,,,,"753,08",,,,,,,,-,,,,,,,"753,08",,,,,,,,,,"2.418,95",,,,,,,,,,
PILAR-AL,,,,,AL,,,,,"183.703,34",,,,,,,,"117.921,96",,,,,,,"301.625,30",,,,,,,,,,"1.000.198,33",,,,,,,,,,
PINDOBA-AL,,,,,AL,,,,,"627,56",,,,,,,,-,,,,,,,"627,56",,,,,,,,,,"2.015,78",,,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,,"815,83",,,,,,,,-,,,,,,,"815,83",,,,,,,,,,"2.620,53",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,,"658,94",,,,,,,,-,,,,,,,"658,94",,,,,,,,,,"2.116,58",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,,"784,45",,,,,,,,-,,,,,,,"784,45",,,,,,,,,,"2.519,73",,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,,,"9.100,84",,,,,,,,"5.202,15",,,,,,,"14.302,99",,,,,,,,,,"46.233,12",,,,,,,,,,
ROTEIRO-AL,,,,,AL,,,,,"1.037,84",,,,,,,,"264,63",,,,,,,"1.302,47",,,,,,,,,,"3.784,30",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,,"627,56",,,,,,,,-,,,,,,,"627,56",,,,,,,,,,"2.015,78",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,,"658,94",,,,,,,,-,,,,,,,"658,94",,,,,,,,,,"2.116,58",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,,"815,83",,,,,,,,-,,,,,,,"815,83",,,,,,,,,,"2.620,53",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,,"878,59",,,,,,,,-,,,,,,,"878,59",,,,,,,,,,"2.822,11",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,,"299.354,82",,,,,,,,"201.321,25",,,,,,,"500.676,07",,,,,,,,,,"1.627.681,63",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,,"627,56",,,,,,,,-,,,,,,,"627,56",,,,,,,,,,"2.015,78",,,,,,,,,,
SATUBA-AL,,,,,AL,,,,,"32.455,00",,,,,,,,"20.488,22",,,,,,,"52.943,22",,,,,,,,,,"195.027,98",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,,"941,35",,,,,,,,-,,,,,,,"941,35",,,,,,,,,,"3.023,69",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,,"1.035,48",,,,,,,,-,,,,,,,"1.035,48",,,,,,,,,,"3.326,06",,,,,,,,,,
VICOSA-AL,,,,,AL,,,,,"847,21",,,,,,,,-,,,,,,,"847,21",,,,,,,,,,"2.721,32",,,,,,,,,,
ALAGOAS TOTAL,,,,,,,,,,"1.705.331,18",,,,,,,,"540.751,57",,,,,,,"2.246.082,75",,,,,,,,,,"7.116.175,71",,,,,,,,,,
ANAMA-AM,,,,,AM,,,,,-,,,,,,,,"1.880,74",,,,,,,"1.880,74",,,,,,,,,,"6.138,89",,,,,,,,,,
