ANADIA-AL,,,,,AL,,,"532,48",,,,,,-,,,,,,,"532,48",,,,,,,"4.936,73",,,,,,,,,,,,
ATALAIA-AL,,,,,AL,,,"687,79",,,,,,-,,,,,,,"687,79",,,,,,,"6.376,63",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,"510,29",,,,,,-,,,,,,,"510,29",,,,,,,"4.731,02",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,"443,73",,,,,,-,,,,,,,"443,73",,,,,,,"4.113,92",,,,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,"599,04",,,,,,-,,,,,,,"599,04",,,,,,,"5.553,81",,,,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,"465,92",,,,,,-,,,,,,,"465,92",,,,,,,"4.319,60",,,,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,"576,86",,,,,,-,,,,,,,"576,86",,,,,,,"5.348,13",,,,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,"443,73",,,,,,-,,,,,,,"443,73",,,,,,,"4.113,92",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,"709,98",,,,,,-,,,,,,,"709,98",,,,,,,"6.582,33",,,,,,,,,,,,
CAPELA-AL,,,,,AL,,,"532,48",,,,,,-,,,,,,,"532,48",,,,,,,"4.936,73",,,,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,"443,73",,,,,,-,,,,,,,"443,73",,,,,,,"4.113,92",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,"576,86",,,,,,-,,,,,,,"576,86",,,,,,,"5.348,13",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,"62.849,45",,,,,,"103,87",,,,,,,"62.953,32",,,,,,,"681.065,24",,,,,,,,,,,,
CORURIPE-AL,,,,,AL,,,"1.196.638,66",,,,,,"48.178,21",,,,,,,"1.244.816,87",,,,,,,"13.283.097,27",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,"16.051,40",,,,,,"22.431,83",,,,,,,"38.483,23",,,,,,,"356.784,55",,,,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,"488,11",,,,,,-,,,,,,,"488,11",,,,,,,"4.525,33",,,,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,"510,29",,,,,,-,,,,,,,"510,29",,,,,,,"4.731,02",,,,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,"576,86",,,,,,-,,,,,,,"576,86",,,,,,,"5.348,13",,,,,,,,,,,,
JACUIPE-AL,,,,,AL,,,"443,73",,,,,,-,,,,,,,"443,73",,,,,,,"4.113,92",,,,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,"443,73",,,,,,-,,,,,,,"443,73",,,,,,,"4.113,92",,,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,"488,11",,,,,,-,,,,,,,"488,11",,,,,,,"8.090,21",,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,"576,86",,,,,,-,,,,,,,"576,86",,,,,,,"5.348,13",,,,,,,,,,,,
JUNDIA-AL,,,,,AL,,,"443,73",,,,,,-,,,,,,,"443,73",,,,,,,"4.113,92",,,,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,"576,86",,,,,,-,,,,,,,"576,86",,,,,,,"5.348,13",,,,,,,,,,,,
MACEIO-AL,,,,,AL,,,"48.968,74",,,,,,"14.822,30",,,,,,,"63.791,04",,,,,,,"689.363,62",,,,,,,,,,,,
MARAGOGI-AL,,,,,AL,,,"621,23",,,,,,-,,,,,,,"621,23",,,,,,,"5.759,52",,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,"923.562,07",,,,,,"35.758,53",,,,,,,"959.320,60",,,,,,,"9.548.663,49",,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,"576,86",,,,,,-,,,,,,,"576,86",,,,,,,"5.348,13",,,,,,,,,,,,
MESSIAS-AL,,,,,AL,,,"510,29",,,,,,-,,,,,,,"510,29",,,,,,,"4.731,02",,,,,,,,,,,,
MURICI-AL,,,,,AL,,,"599,04",,,,,,-,,,,,,,"599,04",,,,,,,"5.553,81",,,,,,,,,,,,
NOVO LINO-AL,,,,,AL,,,"488,11",,,,,,-,,,,,,,"488,11",,,,,,,"4.525,33",,,,,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,"465,92",,,,,,"4.871,86",,,,,,,"5.337,78",,,,,,,"57.846,21",,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,"510,29",,,,,,-,,,,,,,"510,29",,,,,,,"4.731,02",,,,,,,,,,,,
PENEDO-AL,,,,,AL,,,"267.908,35",,,,,,"2,47",,,,,,,"267.910,82",,,,,,,"2.666.976,41",,,,,,,,,,,,
PIACABUCU-AL,,,,,AL,,,"532,48",,,,,,-,,,,,,,"532,48",,,,,,,"4.936,73",,,,,,,,,,,,
PILAR-AL,,,,,AL,,,"176.128,62",,,,,,"105.006,36",,,,,,,"281.134,98",,,,,,,"2.476.272,71",,,,,,,,,,,,
PINDOBA-AL,,,,,AL,,,"443,73",,,,,,-,,,,,,,"443,73",,,,,,,"4.113,92",,,,,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,"599,04",,,,,,-,,,,,,,"599,04",,,,,,,"5.553,81",,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,"443,73",,,,,,-,,,,,,,"443,73",,,,,,,"4.113,92",,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,"554,67",,,,,,-,,,,,,,"554,67",,,,,,,"5.142,45",,,,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,"270.057,99",,,,,,"1.755,54",,,,,,,"271.813,53",,,,,,,"2.696.153,26",,,,,,,,,,,,
ROTEIRO-AL,,,,,AL,,,"1.169.836,79",,,,,,"394,25",,,,,,,"1.170.231,04",,,,,,,"12.580.991,83",,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,"37.246,64",,,,,,"25,05",,,,,,,"37.271,69",,,,,,,"360.657,12",,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,"465,92",,,,,,-,,,,,,,"465,92",,,,,,,"4.319,60",,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,"576,86",,,,,,-,,,,,,,"576,86",,,,,,,"5.348,13",,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,"643,42",,,,,,-,,,,,,,"643,42",,,,,,,"5.965,22",,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,"1.366.941,60",,,,,,"158.436,10",,,,,,,"1.525.377,70",,,,,,,"11.200.698,71",,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,"443,73",,,,,,-,,,,,,,"443,73",,,,,,,"4.113,92",,,,,,,,,,,,
SATUBA-AL,,,,,AL,,,"22.887,86",,,,,,"14.433,53",,,,,,,"37.321,39",,,,,,,"329.175,86",,,,,,,,,,,,
