ANADIA-AL,,,,,,,,AL,,,"646,67",,,,,,,,-,,,,,,"646,67",,,,,,"1.176,00",,,,,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"862,23",,,,,,,,-,,,,,,"862,23",,,,,,"1.568,01",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"592,78",,,,,,,,-,,,,,,"592,78",,,,,,"1.078,00",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"538,89",,,,,,,,-,,,,,,"538,89",,,,,,"980,00",,,,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"727,51",,,,,,,,-,,,,,,"727,51",,,,,,"1.323,01",,,,,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"565,84",,,,,,,,-,,,,,,"565,84",,,,,,"1.029,00",,,,,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"700,56",,,,,,,,-,,,,,,"700,56",,,,,,"1.274,00",,,,,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"538,89",,,,,,,,-,,,,,,"538,89",,,,,,"980,00",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"835,29",,,,,,,,-,,,,,,"835,29",,,,,,"1.519,01",,,,,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"646,67",,,,,,,,-,,,,,,"646,67",,,,,,"1.176,00",,,,,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"538,89",,,,,,,,-,,,,,,"538,89",,,,,,"980,00",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"673,62",,,,,,,,-,,,,,,"673,62",,,,,,"1.225,01",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"69.010,84",,,,,,,,"302,77",,,,,,"69.313,61",,,,,,"133.065,02",,,,,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"1.453.028,37",,,,,,,,"59.124,88",,,,,,"1.512.153,25",,,,,,"2.938.511,95",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,"19.369,25",,,,,,,,"27.068,52",,,,,,"46.437,77",,,,,,"84.449,27",,,,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,"565,84",,,,,,,,-,,,,,,"565,84",,,,,,"1.029,00",,,,,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,"619,73",,,,,,,,-,,,,,,"619,73",,,,,,"1.127,01",,,,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,"700,56",,,,,,,,-,,,,,,"700,56",,,,,,"1.274,00",,,,,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,"538,89",,,,,,,,-,,,,,,"538,89",,,,,,"980,00",,,,,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,"538,89",,,,,,,,-,,,,,,"538,89",,,,,,"980,00",,,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,"1.103,05",,,,,,,,"225,63",,,,,,"1.328,68",,,,,,"1.791,84",,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,,"700,56",,,,,,,,-,,,,,,"700,56",,,,,,"1.274,00",,,,,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,,"538,89",,,,,,,,-,,,,,,"538,89",,,,,,"980,00",,,,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,,"727,51",,,,,,,,-,,,,,,"727,51",,,,,,"1.323,01",,,,,,,,,,,,
MACEIO-AL,,,,,,,,AL,,,"80.521,49",,,,,,,,"18.721,33",,,,,,"99.242,82",,,,,,"188.913,00",,,,,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,,"727,51",,,,,,,,-,,,,,,"727,51",,,,,,"1.323,01",,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,,"112.456,90",,,,,,,,"77.969,80",,,,,,"190.426,70",,,,,,"329.946,37",,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,,"727,51",,,,,,,,-,,,,,,"727,51",,,,,,"1.323,01",,,,,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,,"619,73",,,,,,,,-,,,,,,"619,73",,,,,,"1.127,01",,,,,,,,,,,,
MURICI-AL,,,,,,,,AL,,,"727,51",,,,,,,,-,,,,,,"727,51",,,,,,"1.323,01",,,,,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,,"565,84",,,,,,,,-,,,,,,"565,84",,,,,,"1.029,00",,,,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,,"538,89",,,,,,,,"7.582,11",,,,,,"8.121,00",,,,,,"14.544,45",,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,,"592,78",,,,,,,,-,,,,,,"592,78",,,,,,"1.078,00",,,,,,,,,,,,
PENEDO-AL,,,,,,,,AL,,,"889,18",,,,,,,,-,,,,,,"889,18",,,,,,"1.617,01",,,,,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,,"646,67",,,,,,,,-,,,,,,"646,67",,,,,,"1.176,00",,,,,,,,,,,,
PILAR-AL,,,,,,,,AL,,,"87.267,90",,,,,,,,"55.801,17",,,,,,"143.069,07",,,,,,"300.918,64",,,,,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,,"538,89",,,,,,,,-,,,,,,"538,89",,,,,,"980,00",,,,,,,,,,,,
