ANADIA-AL,,,,,,AL,,,,"850,26",,,,,,,,-,,,,,,"850,26",,,,,,"1.665,87",,,,,,,,,,,
ATALAIA-AL,,,,,,AL,,,,"1.098,26",,,,,,,,-,,,,,,"1.098,26",,,,,,"2.151,76",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,AL,,,,"743,98",,,,,,,,-,,,,,,"743,98",,,,,,"1.457,64",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,AL,,,,"708,55",,,,,,,,-,,,,,,"708,55",,,,,,"1.388,22",,,,,,,,,,,
BOCA DA MATA-AL,,,,,,AL,,,,"956,55",,,,,,,,-,,,,,,"956,55",,,,,,"1.874,11",,,,,,,,,,,
BRANQUINHA-AL,,,,,,AL,,,,"743,98",,,,,,,,-,,,,,,"743,98",,,,,,"1.457,64",,,,,,,,,,,
CAJUEIRO-AL,,,,,,AL,,,,"885,69",,,,,,,,-,,,,,,"885,69",,,,,,"1.735,28",,,,,,,,,,,
CAMPESTRE-AL,,,,,,AL,,,,"708,55",,,,,,,,-,,,,,,"708,55",,,,,,"1.388,22",,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,AL,,,,"1.098,26",,,,,,,,-,,,,,,"1.098,26",,,,,,"2.151,76",,,,,,,,,,,
CAPELA-AL,,,,,,AL,,,,"885,69",,,,,,,,-,,,,,,"885,69",,,,,,"1.735,28",,,,,,,,,,,
CHA PRETA-AL,,,,,,AL,,,,"708,55",,,,,,,,-,,,,,,"708,55",,,,,,"1.388,22",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,AL,,,,"850,26",,,,,,,,-,,,,,,"850,26",,,,,,"1.665,87",,,,,,,,,,,
COQUEIRO SECO-AL,,,,,,AL,,,,"905,26",,,,,,,,"126,88",,,,,,"1.032,14",,,,,,"2.034,43",,,,,,,,,,,
CORURIPE-AL,,,,,,AL,,,,"1.149.188,97",,,,,,,,"63.626,18",,,,,,"1.212.815,15",,,,,,"2.067.267,77",,,,,,,,,,,
FELIZ DESERTO-AL,,,,,,AL,,,,"25.716,49",,,,,,,,"35.247,67",,,,,,"60.964,16",,,,,,"119.443,49",,,,,,,,,,,
FLEXEIRAS-AL,,,,,,AL,,,,"743,98",,,,,,,,-,,,,,,"743,98",,,,,,"1.457,64",,,,,,,,,,,
IBATEGUARA-AL,,,,,,AL,,,,"814,84",,,,,,,,-,,,,,,"814,84",,,,,,"1.596,46",,,,,,,,,,,
IGREJA NOVA-AL,,,,,,AL,,,,"921,12",,,,,,,,-,,,,,,"921,12",,,,,,"1.804,70",,,,,,,,,,,
JACUIPE-AL,,,,,,AL,,,,"708,55",,,,,,,,-,,,,,,"708,55",,,,,,"1.388,22",,,,,,,,,,,
JAPARATINGA-AL,,,,,,AL,,,,"708,55",,,,,,,,-,,,,,,"708,55",,,,,,"1.388,22",,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,AL,,,,"3.219,48",,,,,,,,"1.024,83",,,,,,"4.244,31",,,,,,"4.991,95",,,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,AL,,,,"921,12",,,,,,,,-,,,,,,"921,12",,,,,,"1.804,70",,,,,,,,,,,
JUNDIA-AL,,,,,,AL,,,,"708,55",,,,,,,,-,,,,,,"708,55",,,,,,"1.388,22",,,,,,,,,,,
JUNQUEIRO-AL,,,,,,AL,,,,"921,12",,,,,,,,-,,,,,,"921,12",,,,,,"1.804,70",,,,,,,,,,,
MACEIO-AL,,,,,,AL,,,,"80.372,15",,,,,,,,"20.840,59",,,,,,"101.212,74",,,,,,"197.376,43",,,,,,,,,,,
MARAGOGI-AL,,,,,,AL,,,,"921,12",,,,,,,,-,,,,,,"921,12",,,,,,"1.804,70",,,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,AL,,,,"105.250,58",,,,,,,,"93.994,41",,,,,,"199.244,99",,,,,,"389.127,75",,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,AL,,,,"956,55",,,,,,,,-,,,,,,"956,55",,,,,,"1.874,11",,,,,,,,,,,
MESSIAS-AL,,,,,,AL,,,,"743,98",,,,,,,,-,,,,,,"743,98",,,,,,"1.457,64",,,,,,,,,,,
MURICI-AL,,,,,,AL,,,,"956,55",,,,,,,,-,,,,,,"956,55",,,,,,"1.874,11",,,,,,,,,,,
NOVO LINO-AL,,,,,,AL,,,,"743,98",,,,,,,,-,,,,,,"743,98",,,,,,"1.457,64",,,,,,,,,,,
PARIPUEIRA-AL,,,,,,AL,,,,"708,55",,,,,,,,"10.730,61",,,,,,"11.439,16",,,,,,"20.516,23",,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,AL,,,,"779,41",,,,,,,,-,,,,,,"779,41",,,,,,"1.527,05",,,,,,,,,,,
PENEDO-AL,,,,,,AL,,,,"1.169,12",,,,,,,,-,,,,,,"1.169,12",,,,,,"2.290,58",,,,,,,,,,,
PIACABUCU-AL,,,,,,AL,,,,"850,26",,,,,,,,-,,,,,,"850,26",,,,,,"1.665,87",,,,,,,,,,,
PILAR-AL,,,,,,AL,,,,"222.079,80",,,,,,,,"142.601,64",,,,,,"364.681,44",,,,,,"698.573,03",,,,,,,,,,,
PINDOBA-AL,,,,,,AL,,,,"708,55",,,,,,,,-,,,,,,"708,55",,,,,,"1.388,22",,,,,,,,,,,
PORTO CALVO-AL,,,,,,AL,,,,"921,12",,,,,,,,-,,,,,,"921,12",,,,,,"1.804,70",,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,AL,,,,"743,98",,,,,,,,-,,,,,,"743,98",,,,,,"1.457,64",,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,AL,,,,"885,69",,,,,,,,-,,,,,,"885,69",,,,,,"1.735,28",,,,,,,,,,,
RIO LARGO-AL,,,,,,AL,,,,"10.382,59",,,,,,,,"5.942,69",,,,,,"16.325,28",,,,,,"31.930,13",,,,,,,,,,,
ROTEIRO-AL,,,,,,AL,,,,"1.043,37",,,,,,,,"215,96",,,,,,"1.259,33",,,,,,"2.481,83",,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,AL,,,,"708,55",,,,,,,,-,,,,,,"708,55",,,,,,"1.388,22",,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,AL,,,,"743,98",,,,,,,,-,,,,,,"743,98",,,,,,"1.457,64",,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,AL,,,,"921,12",,,,,,,,-,,,,,,"921,12",,,,,,"1.804,70",,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,AL,,,,"991,98",,,,,,,,-,,,,,,"991,98",,,,,,"1.943,52",,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,AL,,,,"323.184,32",,,,,,,,"214.023,41",,,,,,"537.207,73",,,,,,"1.127.005,56",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,AL,,,,"708,55",,,,,,,,-,,,,,,"708,55",,,,,,"1.388,22",,,,,,,,,,,
SATUBA-AL,,,,,,AL,,,,"43.188,33",,,,,,,,"27.353,75",,,,,,"70.542,08",,,,,,"142.084,76",,,,,,,,,,,
TEOTONIO VILELA-AL,,,,,,AL,,,,"1.062,83",,,,,,,,-,,,,,,"1.062,83",,,,,,"2.082,34",,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,AL,,,,"1.169,12",,,,,,,,-,,,,,,"1.169,12",,,,,,"2.290,58",,,,,,,,,,,
VICOSA-AL,,,,,,AL,,,,"956,55",,,,,,,,-,,,,,,"956,55",,,,,,"1.874,11",,,,,,,,,,,
ALAGOAS TOTAL,,,,,,,,,,"1.999.569,29",,,,,,,,"615.728,62",,,,,,"2.615.297,91",,,,,,"4.870.092,96",,,,,,,,,,,
ANAMA-AM,,,,,,AM,,,,-,,,,,,,,"2.013,76",,,,,,"2.013,76",,,,,,"4.258,15",,,,,,,,,,,
ANORI-AM,,,,,,AM,,,,-,,,,,,,,"2.013,76",,,,,,"2.013,76",,,,,,"4.258,15",,,,,,,,,,,
AUTAZES-AM,,,,,,AM,,,,-,,,,,,,,"5.230,42",,,,,,"5.230,42",,,,,,"12.988,64",,,,,,,,,,,
BERURI-AM,,,,,,AM,,,,-,,,,,,,,"2.013,76",,,,,,"2.013,76",,,,,,"4.258,15",,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,AM,,,,-,,,,,,,,"5.230,42",,,,,,"5.230,42",,,,,,"12.988,64",,,,,,,,,,,
CAREIRO-AM,,,,,,AM,,,,-,,,,,,,,"2.013,76",,,,,,"2.013,76",,,,,,"4.258,15",,,,,,,,,,,
COARI-AM,,,,,,AM,,,,"1.732.918,80",,,,,,,,"1.595.969,57",,,,,,"3.328.888,37",,,,,,"6.538.923,11",,,,,,,,,,,
CODAJAS-AM,,,,,,AM,,,,-,,,,,,,,"2.013,76",,,,,,"2.013,76",,,,,,"4.258,15",,,,,,,,,,,
IRANDUBA-AM,,,,,,AM,,,,-,,,,,,,,"5.230,42",,,,,,"5.230,42",,,,,,"12.988,64",,,,,,,,,,,
ITACOATIARA-AM,,,,,,AM,,,,-,,,,,,,,"5.230,42",,,,,,"5.230,42",,,,,,"12.988,64",,,,,,,,,,,
ITAPIRANGA-AM,,,,,,AM,,,,-,,,,,,,,"5.230,42",,,,,,"5.230,42",,,,,,"12.988,64",,,,,,,,,,,
MANACAPURU-AM,,,,,,AM,,,,-,,,,,,,,"2.013,76",,,,,,"2.013,76",,,,,,"4.258,15",,,,,,,,,,,
MANAQUIRI-AM,,,,,,AM,,,,-,,,,,,,,"2.013,76",,,,,,"2.013,76",,,,,,"4.258,15",,,,,,,,,,,
MANAUS-AM,,,,,,AM,,,,"39.366,24",,,,,,,,"64.202,33",,,,,,"103.568,57",,,,,,"1.115.036,07",,,,,,,,,,,
PARINTINS-AM,,,,,,AM,,,,-,,,,,,,,"5.230,42",,,,,,"5.230,42",,,,,,"12.988,64",,,,,,,,,,,
SILVES-AM,,,,,,AM,,,,-,,,,,,,,"5.230,42",,,,,,"5.230,42",,,,,,"12.988,64",,,,,,,,,,,
URUCARA-AM,,,,,,AM,,,,-,,,,,,,,"5.230,42",,,,,,"5.230,42",,,,,,"12.988,64",,,,,,,,,,,
URUCURITUBA-AM,,,,,,AM,,,,-,,,,,,,,"5.230,45",,,,,,"5.230,45",,,,,,"12.988,67",,,,,,,,,,,
AMAZONAS TOTAL,,,,,,,,,,"1.772.285,04",,,,,,,,"1.721.342,03",,,,,,"3.493.627,07",,,,,,"7.800.664,02",,,,,,,,,,,
LARANJAL DO JARI-AP,,,,,,AP,,,,-,,,,,,,,"5.230,42",,,,,,"5.230,42",,,,,,"12.988,64",,,,,,,,,,,
MACAPA-AP,,,,,,AP,,,,-,,,,,,,,"5.230,42",,,,,,"5.230,42",,,,,,"12.988,64",,,,,,,,,,,
MAZAGAO-AP,,,,,,AP,,,,-,,,,,,,,"5.230,42",,,,,,"5.230,42",,,,,,"12.988,64",,,,,,,,,,,
AMAPA TOTAL,,,,,,,,,,-,,,,,,,,"15.691,26",,,,,,"15.691,26",,,,,,"38.965,92",,,,,,,,,,,
ACAJUTIBA-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
ADUSTINA-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
AGUA FRIA-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
AIQUARA-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
ALAGOINHAS-BA,,,,,,BA,,,,"278.539,69",,,,,,,,"147.973,06",,,,,,"426.512,75",,,,,,"809.158,23",,,,,,,,,,,
AMARGOSA-BA,,,,,,BA,,,,"82,35",,,,,,,,-,,,,,,"82,35",,,,,,"154,95",,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,,BA,,,,"79,41",,,,,,,,-,,,,,,"79,41",,,,,,"149,41",,,,,,,,,,,
ANAGE-BA,,,,,,BA,,,,"82,35",,,,,,,,-,,,,,,"82,35",,,,,,"154,95",,,,,,,,,,,
ANGUERA-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
ANTAS-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,,BA,,,,"61,76",,,,,,,,-,,,,,,"61,76",,,,,,"116,21",,,,,,,,,,,
APORA-BA,,,,,,BA,,,,"70,59",,,,,,,,-,,,,,,"70,59",,,,,,"132,81",,,,,,,,,,,
APUAREMA-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
ARACAS-BA,,,,,,BA,,,,"230.249,61",,,,,,,,"107.995,78",,,,,,"338.245,39",,,,,,"653.964,84",,,,,,,,,,,
ARACI-BA,,,,,,BA,,,,"91,18",,,,,,,,-,,,,,,"91,18",,,,,,"171,55",,,,,,,,,,,
ARAMARI-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
ARATUIPE-BA,,,,,,BA,,,,"58,82",,,,,,,,-,,,,,,"58,82",,,,,,"110,67",,,,,,,,,,,
BAIXA GRANDE-BA,,,,,,BA,,,,"76,47",,,,,,,,-,,,,,,"76,47",,,,,,"143,88",,,,,,,,,,,
BANZAE-BA,,,,,,BA,,,,"61,76",,,,,,,,-,,,,,,"61,76",,,,,,"116,21",,,,,,,,,,,
BARRA DO CHOCA-BA,,,,,,BA,,,,"91,18",,,,,,,,-,,,,,,"91,18",,,,,,"171,55",,,,,,,,,,,
BARROCAS-BA,,,,,,BA,,,,"64,71",,,,,,,,-,,,,,,"64,71",,,,,,"121,75",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELO CAMPO-BA,,,,,,BA,,,,"70,59",,,,,,,,-,,,,,,"70,59",,,,,,"132,81",,,,,,,,,,,
BIRITINGA-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
BOA NOVA-BA,,,,,,BA,,,,"76,47",,,,,,,,-,,,,,,"76,47",,,,,,"143,88",,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,BA,,,,"73,53",,,,,,,,-,,,,,,"73,53",,,,,,"138,35",,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,BA,,,,"61,76",,,,,,,,-,,,,,,"61,76",,,,,,"116,21",,,,,,,,,,,
BREJOES-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
CAATIBA-BA,,,,,,BA,,,,"67,65",,,,,,,,-,,,,,,"67,65",,,,,,"127,28",,,,,,,,,,,
