ANADIA-AL,,,,,,,AL,,"700,35",,,,,,-,,,,,"700,35",,,,,,"700,35",,,,,,,,
ATALAIA-AL,,,,,,,AL,,"904,62",,,,,,-,,,,,"904,62",,,,,,"904,62",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,AL,,"671,17",,,,,,-,,,,,"671,17",,,,,,"671,17",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,AL,,"583,62",,,,,,-,,,,,"583,62",,,,,,"583,62",,,,,,,,
BOCA DA MATA-AL,,,,,,,AL,,"787,89",,,,,,-,,,,,"787,89",,,,,,"787,89",,,,,,,,
BRANQUINHA-AL,,,,,,,AL,,"612,81",,,,,,-,,,,,"612,81",,,,,,"612,81",,,,,,,,
CAJUEIRO-AL,,,,,,,AL,,"758,71",,,,,,-,,,,,"758,71",,,,,,"758,71",,,,,,,,
CAMPESTRE-AL,,,,,,,AL,,"583,62",,,,,,-,,,,,"583,62",,,,,,"583,62",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,AL,,"933,80",,,,,,-,,,,,"933,80",,,,,,"933,80",,,,,,,,
CAPELA-AL,,,,,,,AL,,"700,35",,,,,,-,,,,,"700,35",,,,,,"700,35",,,,,,,,
CHA PRETA-AL,,,,,,,AL,,"583,62",,,,,,-,,,,,"583,62",,,,,,"583,62",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,AL,,"758,71",,,,,,-,,,,,"758,71",,,,,,"758,71",,,,,,,,
COQUEIRO SECO-AL,,,,,,,AL,,"78.197,79",,,,,,"316,32",,,,,"78.514,11",,,,,,"78.514,11",,,,,,,,
CORURIPE-AL,,,,,,,AL,,"1.655.783,75",,,,,,"70.732,71",,,,,"1.726.516,46",,,,,,"1.726.516,46",,,,,,,,
FELIZ DESERTO-AL,,,,,,,AL,,"21.111,66",,,,,,"29.503,54",,,,,"50.615,20",,,,,,"50.615,20",,,,,,,,
FLEXEIRAS-AL,,,,,,,AL,,"641,99",,,,,,-,,,,,"641,99",,,,,,"641,99",,,,,,,,
IBATEGUARA-AL,,,,,,,AL,,"671,17",,,,,,-,,,,,"671,17",,,,,,"671,17",,,,,,,,
IGREJA NOVA-AL,,,,,,,AL,,"758,71",,,,,,-,,,,,"758,71",,,,,,"758,71",,,,,,,,
JACUIPE-AL,,,,,,,AL,,"583,62",,,,,,-,,,,,"583,62",,,,,,"583,62",,,,,,,,
JAPARATINGA-AL,,,,,,,AL,,"583,62",,,,,,-,,,,,"583,62",,,,,,"583,62",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,AL,,"3.662,39",,,,,,"1.268,57",,,,,"4.930,96",,,,,,"4.930,96",,,,,,,,
JOAQUIM GOMES-AL,,,,,,,AL,,"758,71",,,,,,-,,,,,"758,71",,,,,,"758,71",,,,,,,,
JUNDIA-AL,,,,,,,AL,,"583,62",,,,,,-,,,,,"583,62",,,,,,"583,62",,,,,,,,
JUNQUEIRO-AL,,,,,,,AL,,"758,71",,,,,,-,,,,,"758,71",,,,,,"758,71",,,,,,,,
MACEIO-AL,,,,,,,AL,,"94.721,90",,,,,,"19.070,65",,,,,"113.792,55",,,,,,"113.792,55",,,,,,,,
MARAGOGI-AL,,,,,,,AL,,"817,08",,,,,,-,,,,,"817,08",,,,,,"817,08",,,,,,,,
MARECHAL DEODORO-AL,,,,,,,AL,,"116.366,70",,,,,,"69.466,44",,,,,"185.833,14",,,,,,"185.833,14",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,AL,,"758,71",,,,,,-,,,,,"758,71",,,,,,"758,71",,,,,,,,
MESSIAS-AL,,,,,,,AL,,"671,17",,,,,,-,,,,,"671,17",,,,,,"671,17",,,,,,,,
MURICI-AL,,,,,,,AL,,"787,89",,,,,,-,,,,,"787,89",,,,,,"787,89",,,,,,,,
NOVO LINO-AL,,,,,,,AL,,"641,99",,,,,,-,,,,,"641,99",,,,,,"641,99",,,,,,,,
PARIPUEIRA-AL,,,,,,,AL,,"612,81",,,,,,"5.432,92",,,,,"6.045,73",,,,,,"6.045,73",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,AL,,"671,17",,,,,,-,,,,,"671,17",,,,,,"671,17",,,,,,,,
