ANADIA-AL,,,,,,,AL,,,"744,46",,,,,,,,-,,,,,,,,"744,46",,,,,,,"3.340,51",,,,,,,,,
ATALAIA-AL,,,,,,,AL,,,"992,61",,,,,,,,-,,,,,,,,"992,61",,,,,,,"4.454,01",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,AL,,,"682,42",,,,,,,,-,,,,,,,,"682,42",,,,,,,"3.062,13",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,AL,,,"620,38",,,,,,,,-,,,,,,,,"620,38",,,,,,,"2.783,76",,,,,,,,,
BOCA DA MATA-AL,,,,,,,AL,,,"837,51",,,,,,,,-,,,,,,,,"837,51",,,,,,,"3.758,07",,,,,,,,,
BRANQUINHA-AL,,,,,,,AL,,,"651,40",,,,,,,,-,,,,,,,,"651,40",,,,,,,"2.922,94",,,,,,,,,
CAJUEIRO-AL,,,,,,,AL,,,"806,49",,,,,,,,-,,,,,,,,"806,49",,,,,,,"3.618,87",,,,,,,,,
CAMPESTRE-AL,,,,,,,AL,,,"620,38",,,,,,,,-,,,,,,,,"620,38",,,,,,,"2.783,76",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,AL,,,"961,59",,,,,,,,-,,,,,,,,"961,59",,,,,,,"4.314,83",,,,,,,,,
CAPELA-AL,,,,,,,AL,,,"744,46",,,,,,,,-,,,,,,,,"744,46",,,,,,,"3.340,51",,,,,,,,,
CHA PRETA-AL,,,,,,,AL,,,"620,38",,,,,,,,-,,,,,,,,"620,38",,,,,,,"2.783,76",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,AL,,,"775,48",,,,,,,,-,,,,,,,,"775,48",,,,,,,"3.479,70",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,AL,,,"713,55",,,,,,,,"60,10",,,,,,,,"773,65",,,,,,,"4.033,38",,,,,,,,,
CORURIPE-AL,,,,,,,AL,,,"682.860,64",,,,,,,,"48.956,67",,,,,,,,"731.817,31",,,,,,,"2.899.098,20",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,AL,,,"22.298,04",,,,,,,,"31.161,51",,,,,,,,"53.459,55",,,,,,,"239.882,20",,,,,,,,,
FLEXEIRAS-AL,,,,,,,AL,,,"651,40",,,,,,,,-,,,,,,,,"651,40",,,,,,,"2.922,94",,,,,,,,,
IBATEGUARA-AL,,,,,,,AL,,,"713,44",,,,,,,,-,,,,,,,,"713,44",,,,,,,"3.201,32",,,,,,,,,
IGREJA NOVA-AL,,,,,,,AL,,,"806,49",,,,,,,,-,,,,,,,,"806,49",,,,,,,"3.618,87",,,,,,,,,
JACUIPE-AL,,,,,,,AL,,,"620,38",,,,,,,,-,,,,,,,,"620,38",,,,,,,"2.783,76",,,,,,,,,
JAPARATINGA-AL,,,,,,,AL,,,"620,38",,,,,,,,-,,,,,,,,"620,38",,,,,,,"2.783,76",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,AL,,,"1.501,75",,,,,,,,"357,14",,,,,,,,"1.858,89",,,,,,,"52.877,65",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,AL,,,"806,49",,,,,,,,-,,,,,,,,"806,49",,,,,,,"3.618,87",,,,,,,,,
JUNDIA-AL,,,,,,,AL,,,"636,20",,,,,,,,-,,,,,,,,"636,20",,,,,,,"2.804,13",,,,,,,,,
JUNQUEIRO-AL,,,,,,,AL,,,"837,51",,,,,,,,-,,,,,,,,"837,51",,,,,,,"3.758,07",,,,,,,,,
MACEIO-AL,,,,,,,AL,,,"48.441,95",,,,,,,,"9.875,32",,,,,,,,"58.317,27",,,,,,,"277.375,46",,,,,,,,,
MARAGOGI-AL,,,,,,,AL,,,"837,51",,,,,,,,-,,,,,,,,"837,51",,,,,,,"3.758,07",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,AL,,,"60.731,81",,,,,,,,"49.294,73",,,,,,,,"110.026,54",,,,,,,"489.940,68",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,AL,,,"837,51",,,,,,,,-,,,,,,,,"837,51",,,,,,,"3.758,07",,,,,,,,,
MESSIAS-AL,,,,,,,AL,,,"713,44",,,,,,,,-,,,,,,,,"713,44",,,,,,,"3.201,32",,,,,,,,,
MURICI-AL,,,,,,,AL,,,"837,51",,,,,,,,-,,,,,,,,"837,51",,,,,,,"3.758,07",,,,,,,,,
NOVO LINO-AL,,,,,,,AL,,,"651,40",,,,,,,,-,,,,,,,,"651,40",,,,,,,"2.922,94",,,,,,,,,
PARIPUEIRA-AL,,,,,,,AL,,,"620,38",,,,,,,,"4.637,24",,,,,,,,"5.257,62",,,,,,,"25.596,63",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,AL,,,"682,42",,,,,,,,-,,,,,,,,"682,42",,,,,,,"3.062,13",,,,,,,,,
PENEDO-AL,,,,,,,AL,,,"409.080,34",,,,,,,,-,,,,,,,,"409.080,34",,,,,,,"1.604.611,66",,,,,,,,,
PIACABUCU-AL,,,,,,,AL,,,"744,46",,,,,,,,-,,,,,,,,"744,46",,,,,,,"3.340,51",,,,,,,,,
PILAR-AL,,,,,,,AL,,,"69.625,28",,,,,,,,"44.348,10",,,,,,,,"113.973,38",,,,,,,"542.248,38",,,,,,,,,
PINDOBA-AL,,,,,,,AL,,,"620,38",,,,,,,,-,,,,,,,,"620,38",,,,,,,"2.783,76",,,,,,,,,
PORTO CALVO-AL,,,,,,,AL,,,"837,51",,,,,,,,-,,,,,,,,"837,51",,,,,,,"3.758,07",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,AL,,,"651,40",,,,,,,,-,,,,,,,,"651,40",,,,,,,"2.922,94",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,AL,,,"744,46",,,,,,,,-,,,,,,,,"744,46",,,,,,,"3.340,51",,,,,,,,,
RIO LARGO-AL,,,,,,,AL,,,"12.813,41",,,,,,,,"7.580,94",,,,,,,,"20.394,35",,,,,,,"83.190,91",,,,,,,,,
ROTEIRO-AL,,,,,,,AL,,,"1.120,03",,,,,,,,"322,27",,,,,,,,"1.442,30",,,,,,,"4.030,45",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,AL,,,"1.040,89",,,,,,,,"250,27",,,,,,,,"1.291,16",,,,,,,"98.226,53",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,AL,,,"651,40",,,,,,,,-,,,,,,,,"651,40",,,,,,,"2.922,94",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,AL,,,"806,49",,,,,,,,-,,,,,,,,"806,49",,,,,,,"3.618,87",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,AL,,,"868,53",,,,,,,,-,,,,,,,,"868,53",,,,,,,"3.897,26",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,AL,,,"248.796,50",,,,,,,,"162.625,36",,,,,,,,"411.421,86",,,,,,,"1.786.119,90",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,AL,,,"620,38",,,,,,,,-,,,,,,,,"620,38",,,,,,,"2.783,76",,,,,,,,,
SATUBA-AL,,,,,,,AL,,,"424.752,94",,,,,,,,"10.294,45",,,,,,,,"435.047,39",,,,,,,"1.718.735,86",,,,,,,,,
