ANADIA-AL,,,,,,,,,,AL,,"716,05",,,,,,,-,,,,,,,,"716,05",,,,,,,"7.567,87",,,,,,,,
ATALAIA-AL,,,,,,,,,,AL,,"924,90",,,,,,,-,,,,,,,,"924,90",,,,,,,"9.874,09",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,,AL,,"686,21",,,,,,,-,,,,,,,,"686,21",,,,,,,"7.153,61",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,,AL,,"596,71",,,,,,,-,,,,,,,,"596,71",,,,,,,"6.306,55",,,,,,,,
BOCA DA MATA-AL,,,,,,,,,,AL,,"805,56",,,,,,,-,,,,,,,,"805,56",,,,,,,"8.513,86",,,,,,,,
BRANQUINHA-AL,,,,,,,,,,AL,,"626,54",,,,,,,-,,,,,,,,"626,54",,,,,,,"6.621,86",,,,,,,,
CAJUEIRO-AL,,,,,,,,,,AL,,"775,72",,,,,,,-,,,,,,,,"775,72",,,,,,,"8.198,53",,,,,,,,
CAMPESTRE-AL,,,,,,,,,,AL,,"596,71",,,,,,,-,,,,,,,,"596,71",,,,,,,"6.306,55",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,,AL,,"954,74",,,,,,,-,,,,,,,,"954,74",,,,,,,"9.991,61",,,,,,,,
CAPELA-AL,,,,,,,,,,AL,,"716,05",,,,,,,-,,,,,,,,"716,05",,,,,,,"7.567,87",,,,,,,,
CHA PRETA-AL,,,,,,,,,,AL,,"596,71",,,,,,,-,,,,,,,,"596,71",,,,,,,"6.306,55",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,,AL,,"775,72",,,,,,,-,,,,,,,,"775,72",,,,,,,"8.099,62",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,,AL,,"83.494,14",,,,,,,"357,70",,,,,,,,"83.851,84",,,,,,,"922.480,50",,,,,,,,
CORURIPE-AL,,,,,,,,,,AL,,"1.645.649,55",,,,,,,"72.598,38",,,,,,,,"1.718.247,93",,,,,,,"20.050.003,04",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,,AL,,"21.584,93",,,,,,,"30.164,94",,,,,,,,"51.749,87",,,,,,,"545.845,76",,,,,,,,
FLEXEIRAS-AL,,,,,,,,,,AL,,"656,38",,,,,,,-,,,,,,,,"656,38",,,,,,,"6.838,28",,,,,,,,
IBATEGUARA-AL,,,,,,,,,,AL,,"686,21",,,,,,,-,,,,,,,,"686,21",,,,,,,"7.252,53",,,,,,,,
