ANADIA-AL,,,,,,,,,AL,,,"742,22",,,,,,,-,,,,,,"742,22",,,,,,"1.442,57",,,,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,"958,70",,,,,,,-,,,,,,"958,70",,,,,,"1.863,32",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,"711,29",,,,,,,-,,,,,,"711,29",,,,,,"1.382,46",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,"618,51",,,,,,,-,,,,,,"618,51",,,,,,"1.202,13",,,,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,"834,99",,,,,,,-,,,,,,"834,99",,,,,,"1.622,88",,,,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,"649,44",,,,,,,-,,,,,,"649,44",,,,,,"1.262,25",,,,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,"804,07",,,,,,,-,,,,,,"804,07",,,,,,"1.562,78",,,,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,"618,51",,,,,,,-,,,,,,"618,51",,,,,,"1.202,13",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,"989,62",,,,,,,-,,,,,,"989,62",,,,,,"1.923,42",,,,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,,"742,22",,,,,,,-,,,,,,"742,22",,,,,,"1.442,57",,,,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,"618,51",,,,,,,-,,,,,,"618,51",,,,,,"1.202,13",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,"804,07",,,,,,,-,,,,,,"804,07",,,,,,"1.562,78",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,"86.063,03",,,,,,,"335,49",,,,,,"86.398,52",,,,,,"164.912,63",,,,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,"2.012.721,29",,,,,,,"79.719,19",,,,,,"2.092.440,48",,,,,,"3.818.956,94",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,,"22.373,67",,,,,,,"31.267,21",,,,,,"53.640,88",,,,,,"104.256,08",,,,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,,"680,36",,,,,,,-,,,,,,"680,36",,,,,,"1.322,35",,,,,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,,"711,29",,,,,,,-,,,,,,"711,29",,,,,,"1.382,46",,,,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,,"804,07",,,,,,,-,,,,,,"804,07",,,,,,"1.562,78",,,,,,,,,,,,
