ANADIA-AL,,,,,,,,AL,,"591,37",,,,,,,,-,,,,,,"591,37",,,,,,,"7.114,48",,,,,,,,
ATALAIA-AL,,,,,,,,AL,,"788,49",,,,,,,,-,,,,,,"788,49",,,,,,,"9.485,98",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,"542,09",,,,,,,,-,,,,,,"542,09",,,,,,,"6.521,60",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,"492,81",,,,,,,,-,,,,,,"492,81",,,,,,,"5.928,73",,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,"665,29",,,,,,,,-,,,,,,"665,29",,,,,,,"8.003,80",,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,"517,45",,,,,,,,-,,,,,,"517,45",,,,,,,"6.225,16",,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,"640,65",,,,,,,,-,,,,,,"640,65",,,,,,,"7.707,36",,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,"492,81",,,,,,,,-,,,,,,"492,81",,,,,,,"5.928,73",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,"763,85",,,,,,,,-,,,,,,"763,85",,,,,,,"9.189,56",,,,,,,,
CAPELA-AL,,,,,,,,AL,,"591,37",,,,,,,,-,,,,,,"591,37",,,,,,,"7.114,48",,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,"492,81",,,,,,,,-,,,,,,"492,81",,,,,,,"5.928,73",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,"616,01",,,,,,,,-,,,,,,"616,01",,,,,,,"7.410,92",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"58.563,55",,,,,,,,"271,78",,,,,,"58.835,33",,,,,,,"543.757,06",,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"1.221.955,76",,,,,,,,"52.122,60",,,,,,"1.274.078,36",,,,,,,"15.068.140,07",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,"17.712,80",,,,,,,,"24.753,64",,,,,,"42.466,44",,,,,,,"510.892,51",,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,"517,45",,,,,,,,-,,,,,,"517,45",,,,,,,"6.225,16",,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,"566,73",,,,,,,,-,,,,,,"566,73",,,,,,,"6.818,04",,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,"640,65",,,,,,,,-,,,,,,"640,65",,,,,,,"7.707,36",,,,,,,,
JACUIPE-AL,,,,,,,,AL,,"492,81",,,,,,,,-,,,,,,"492,81",,,,,,,"5.928,73",,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,"492,81",,,,,,,,-,,,,,,"492,81",,,,,,,"5.928,73",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,"517,45",,,,,,,,-,,,,,,"517,45",,,,,,,"12.413,51",,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,"640,65",,,,,,,,-,,,,,,"640,65",,,,,,,"7.707,36",,,,,,,,
JUNDIA-AL,,,,,,,,AL,,"492,81",,,,,,,,-,,,,,,"492,81",,,,,,,"5.939,12",,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,"665,29",,,,,,,,-,,,,,,"665,29",,,,,,,"8.003,80",,,,,,,,
MACEIO-AL,,,,,,,,AL,,"70.742,98",,,,,,,,"18.685,20",,,,,,"89.428,18",,,,,,,"988.723,59",,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,"665,29",,,,,,,,-,,,,,,"665,29",,,,,,,"8.003,80",,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,"75.263,87",,,,,,,,"59.872,81",,,,,,"135.136,68",,,,,,,"1.831.159,66",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,"665,29",,,,,,,,-,,,,,,"665,29",,,,,,,"8.003,80",,,,,,,,
MESSIAS-AL,,,,,,,,AL,,"566,73",,,,,,,,-,,,,,,"566,73",,,,,,,"6.818,04",,,,,,,,
MURICI-AL,,,,,,,,AL,,"665,29",,,,,,,,-,,,,,,"665,29",,,,,,,"8.003,80",,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,"517,45",,,,,,,,-,,,,,,"517,45",,,,,,,"6.225,16",,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,"492,81",,,,,,,,"7.208,39",,,,,,"7.701,20",,,,,,,"94.866,00",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,"542,09",,,,,,,,-,,,,,,"542,09",,,,,,,"6.521,60",,,,,,,,
PENEDO-AL,,,,,,,,AL,,"813,19",,,,,,,,-,,,,,,"813,19",,,,,,,"1.324.943,93",,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,"591,37",,,,,,,,-,,,,,,"591,37",,,,,,,"7.114,48",,,,,,,,
PILAR-AL,,,,,,,,AL,,"122.160,70",,,,,,,,"78.348,65",,,,,,"200.509,35",,,,,,,"2.198.400,94",,,,,,,,
PINDOBA-AL,,,,,,,,AL,,"492,81",,,,,,,,-,,,,,,"492,81",,,,,,,"5.928,73",,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,"665,29",,,,,,,,-,,,,,,"665,29",,,,,,,"8.003,80",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,"517,45",,,,,,,,-,,,,,,"517,45",,,,,,,"6.225,16",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,"591,37",,,,,,,,-,,,,,,"591,37",,,,,,,"7.114,48",,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,"11.877,77",,,,,,,,"7.120,79",,,,,,"18.998,56",,,,,,,"214.561,97",,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,"59.036,23",,,,,,,,"622,32",,,,,,"59.658,55",,,,,,,"558.656,94",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,"58.710,42",,,,,,,,"390,89",,,,,,"59.101,31",,,,,,,"127.047,39",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,"517,45",,,,,,,,-,,,,,,"517,45",,,,,,,"6.225,16",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,"640,65",,,,,,,,-,,,,,,"640,65",,,,,,,"7.707,36",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,"689,93",,,,,,,,-,,,,,,"689,93",,,,,,,"8.300,23",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,"235.649,96",,,,,,,,"155.090,69",,,,,,"390.740,65",,,,,,,"5.018.019,12",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,"492,81",,,,,,,,-,,,,,,"492,81",,,,,,,"5.928,73",,,,,,,,
SATUBA-AL,,,,,,,,AL,,"13.940,81",,,,,,,,"8.626,24",,,,,,"22.567,05",,,,,,,"1.755.661,34",,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,"763,85",,,,,,,,-,,,,,,"763,85",,,,,,,"9.189,56",,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,AL,,"813,13",,,,,,,,-,,,,,,"813,13",,,,,,,"9.782,41",,,,,,,,
VICOSA-AL,,,,,,,,AL,,"665,29",,,,,,,,-,,,,,,"665,29",,,,,,,"8.003,80",,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,"1.970.206,04",,,,,,,,"413.114,00",,,,,,"2.383.320,04",,,,,,,"30.521.161,96",,,,,,,,
ANAMA-AM,,,,,,,,AM,,-,,,,,,,,"2.667,57",,,,,,"2.667,57",,,,,,,"29.679,12",,,,,,,,
ANORI-AM,,,,,,,,AM,,-,,,,,,,,"2.667,57",,,,,,"2.667,57",,,,,,,"29.679,12",,,,,,,,
AUTAZES-AM,,,,,,,,AM,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
BERURI-AM,,,,,,,,AM,,-,,,,,,,,"2.667,57",,,,,,"2.667,57",,,,,,,"29.679,12",,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,AM,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
CAREIRO-AM,,,,,,,,AM,,-,,,,,,,,"2.667,57",,,,,,"2.667,57",,,,,,,"29.679,12",,,,,,,,
COARI-AM,,,,,,,,AM,,"2.917.223,16",,,,,,,,"1.778.756,22",,,,,,"4.695.979,38",,,,,,,"42.964.424,68",,,,,,,,
CODAJAS-AM,,,,,,,,AM,,-,,,,,,,,"2.667,57",,,,,,"2.667,57",,,,,,,"29.679,12",,,,,,,,
IRANDUBA-AM,,,,,,,,AM,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
ITACOATIARA-AM,,,,,,,,AM,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
ITAPIRANGA-AM,,,,,,,,AM,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
MANACAPURU-AM,,,,,,,,AM,,-,,,,,,,,"2.667,57",,,,,,"2.667,57",,,,,,,"29.679,12",,,,,,,,
MANAQUIRI-AM,,,,,,,,AM,,-,,,,,,,,"2.667,57",,,,,,"2.667,57",,,,,,,"29.679,12",,,,,,,,
MANAUS-AM,,,,,,,,AM,,"1.191.758,93",,,,,,,,"99.348,70",,,,,,"1.291.107,63",,,,,,,"12.743.280,85",,,,,,,,
PARINTINS-AM,,,,,,,,AM,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
SILVES-AM,,,,,,,,AM,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
TEFE-AM,,,,,,,,AM,,"19.136,82",,,,,,,,"14.352,62",,,,,,"33.489,44",,,,,,,"33.489,44",,,,,,,,
URUCARA-AM,,,,,,,,AM,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
URUCURITUBA-AM,,,,,,,,AM,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,"4.128.118,91",,,,,,,,"1.980.145,41",,,,,,"6.108.264,32",,,,,,,"56.663.734,84",,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,AP,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
MACAPA-AP,,,,,,,,AP,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
MAZAGAO-AP,,,,,,,,AP,,-,,,,,,,,"7.668,32",,,,,,"7.668,32",,,,,,,"79.420,67",,,,,,,,
